Subcategory name;Subcategory code;Catalogue name;Catalogue code;Measure name;Measure code
Vessel distributions;VED;Monthly Draught;DR5MON;Time distributed total;TIMEDITO
Vessel type size distributions ;VDT;Monthly Draught % of Design draught;DT5MON;Time distributed loaded;TIMEDILO
;;Monthly Filling factor %;FT5MON;Time distributed unloaded;TIMEDIUL
;;Monthly Speed05;SP5MON;Distance distributed total;DISTDITO
;;Monthly Speed % of Design speed;ST5MON;Distance distributed loaded;DISTDILO
;;Monthly EEOI By Time;EO5MON;Distance distributed unloaded;DISTDIUL
;;Monthly Water temperature 1;WT1MON;ME energy distributed total;MEENDITO
;;Monthly Draught;DR5MON;ME energy distributed loaded;MEENDILO
;;Monthly Draught % of Design draught;DT5MON;ME energy distributed unloaded;MEENDIUL
;;Monthly Filling factor %;FT5MON;AE energy distributed total;AEENDITO
;;Monthly Speed05;SP5MON;AE energy distributed loaded;AEENDILO
;;Monthly Speed % of Design speed;ST5MON;AE energy distributed unloaded;AEENDIUL
;;Monthly EEOI;EO5MON;Boiler energy distributed total;BOENDITO
;;Monthly Water temperature 1;WT1MON;Boiler energy distributed loaded;BOENDILO
;;Vessel Global Monthly Draught/Distance nm moving;GLOMON;Boiler energy distributed unloaded;BOENDIUL
;;Vessel Global Monthly EEOI By Distance;GLOMON;Total energy distributed total;TOENDITO
;;Monthly Speed05/Water temperature;SW5MON;Total energy distributed loaded;TOENDILO
;;Vessel Raster Monthly 3D Time per rounded Lat Long;RASMON;Total energy distributed unloaded;TOENDIUL
;;Vessel Raster Monthly 3D Time per rounded Lat01 Long01;RASMON;ME fuel distributed total;MEFUDITO
;;Monthly Speed05/Water temperature;SW5MON;ME fuel distributed loaded;MEFUDILO
;;;;ME fuel distributed unloaded;MEFUDIUL
;;;;AE fuel distributed total;AEFUDITO
;;;;AE fuel distributed loaded;AEFUDILO
;;;;AE fuel distributed unloaded;AEFUDIUL
;;;;Boiler fuel distributed total;BOFUDITO
;;;;Boiler fuel distributed loaded;BOFUDILO
;;;;Boiler fuel distributed unloaded;BOFUDIUL
;;;;Total fuel distributed total;TOFUDITO
;;;;Total fuel distributed loaded;TOFUDILO
;;;;Total fuel distributed unloaded;TOFUDIUL
