Vessel commercial type size ID;Vessel type full name;(No column name);Vessel type name;Vessel size name
210101;01 Tanker / A ULCC - 330' + dwt;Tanker;01 Tanker;A ULCC - 330' + dwt
210102;01 Tanker / B VLCC - 200'-329.9' dwt;Tanker;01 Tanker;B VLCC - 200'-329.9' dwt
210103;01 Tanker / C Suezmax - 130'-199.9' dwt;Tanker;01 Tanker;C Suezmax - 130'-199.9' dwt
210104;01 Tanker / D Aframax / LR 2 - 95'-129.9' dwt;Tanker;01 Tanker;D Aframax / LR 2 - 95'-129.9' dwt
210105;01 Tanker / E Post Panamax / LR1 - 75'-94.9' dwt;Tanker;01 Tanker;E Post Panamax / LR1 - 75'-94.9' dwt
210106;01 Tanker / F Panamax / LR1 - 55'-74.5' dwt;Tanker;01 Tanker;F Panamax / LR1 - 55'-74.5' dwt
210107;01 Tanker / G MR - 40'-54.9' dwt;Tanker;01 Tanker;G MR - 40'-54.9' dwt
210108;01 Tanker / H Handy size - 27'-39.9' dwt;Tanker;01 Tanker;H Handy size - 27'-39.9' dwt
210109;01 Tanker / I Intermediate - 10'-26.9' dwt;Tanker;01 Tanker;I Intermediate - 10'-26.9' dwt
210110;01 Tanker / J 5'-9.9' dwt;Tanker;01 Tanker;J 5'-9.9' dwt
210111;01 Tanker / K 0-4.9' dwt;Tanker;01 Tanker;K 0-4.9' dwt
210201;02 LPG / A 70' + cbm;Tanker;02 LPG;A 70' + cbm
210202;02 LPG / B 50'-69' cbm;Tanker;02 LPG;B 50'-69' cbm
210203;02 LPG / C 20'-49' cbm;Tanker;02 LPG;C 20'-49' cbm
210204;02 LPG / D 5'-19' cbm;Tanker;02 LPG;D 5'-19' cbm
210205;02 LPG / E 0-4.9' cbm;Tanker;02 LPG;E 0-4.9' cbm
210301;03 LNG / A 200' + cbm;Tanker;03 LNG;A 200' + cbm
210302;03 LNG / B 150'-199' cbm;Tanker;03 LNG;B 150'-199' cbm
210303;03 LNG / C 100'-149' cbm;Tanker;03 LNG;C 100'-149' cbm
210304;03 LNG / D 30'-99' cbm;Tanker;03 LNG;D 30'-99' cbm
210305;03 LNG / E 0-29' cbm;Tanker;03 LNG;E 0-29' cbm
220101;04 Bulk / A VLOC - 350' + dwt;Bulker & General Cargo;04 Bulk;A VLOC - 350' + dwt
220102;04 Bulk / B Capesize - 120'-349.9' dwt;Bulker & General Cargo;04 Bulk;B Capesize - 120'-349.9' dwt
220103;04 Bulk / C Mini Capesize - 100'-119.9' dwt;Bulker & General Cargo;04 Bulk;C Mini Capesize - 100'-119.9' dwt
220104;04 Bulk / D Post Panamax - 85'-99.9' dwt;Bulker & General Cargo;04 Bulk;D Post Panamax - 85'-99.9' dwt
220105;04 Bulk / E Panamax - 60'-84.9' dwt;Bulker & General Cargo;04 Bulk;E Panamax - 60'-84.9' dwt
220106;04 Bulk / F Large Handymax - 50'-59.9' dwt;Bulker & General Cargo;04 Bulk;F Large Handymax - 50'-59.9' dwt
220107;04 Bulk / G Handymax - 40'-49.9' dwt;Bulker & General Cargo;04 Bulk;G Handymax - 40'-49.9' dwt
220108;04 Bulk / H Large Handysize - 25'-39.9' dwt;Bulker & General Cargo;04 Bulk;H Large Handysize - 25'-39.9' dwt
220109;04 Bulk / I Small Handysize - 10'-24.9' dwt;Bulker & General Cargo;04 Bulk;I Small Handysize - 10'-24.9' dwt
220110;04 Bulk / J 5'-9.9' dwt;Bulker & General Cargo;04 Bulk;J 5'-9.9' dwt
220111;04 Bulk / K 0-4.9' dwt;Bulker & General Cargo;04 Bulk;K 0-4.9' dwt
